
--- Training session started at Wed Apr 22 00:03:06 2026 ---
    Step    Epoch   TrLoss   TrPPL   VaLoss   VaPPL   GradN     Mem
---------------------------------------------------------------------------
      10    1/5     5.7589   317.0       --      --   4.151   272M/802M
      20    1/5     4.3544    77.8       --      --   2.487   272M/802M
      30    1/5     3.3689    29.0       --      --   0.836   272M/802M
      40    1/5     3.6036    36.7       --      --   0.313   272M/802M
      50    1/5     3.0407    20.9       --      --   0.239   272M/802M
      60    1/5     3.0837    21.8       --      --   0.344   272M/802M
      70    1/5     3.1645    23.7       --      --   0.277   272M/802M
      80    1/5     3.1040    22.3       --      --   0.399   272M/802M
      90    1/5     2.8733    17.7       --      --   0.303   272M/802M
     100    1/5     2.7478    15.6       --      --   0.280   272M/802M
     110    1/5     3.2993    27.1       --      --   0.437   272M/802M
     120    1/5     2.9668    19.4       --      --   0.286   272M/802M
     130    1/5     2.8852    17.9       --      --   0.278   272M/802M
     140    1/5     2.7085    15.0       --      --   0.387   272M/802M
     150    1/5     2.6879    14.7       --      --   0.265   272M/802M
     160    1/5     2.8094    16.6       --      --   0.294   272M/802M
     170    1/5     2.8529    17.3       --      --   0.351   272M/802M
     180    1/5     2.5335    12.6       --      --   0.343   272M/802M
     190    1/5     2.5492    12.8       --      --   0.512   272M/802M
     200    1/5     2.7159    15.1       --      --   0.357   272M/802M
     210    1/5     2.8175    16.7       --      --   0.349   272M/802M
     220    1/5     2.7379    15.5       --      --   0.382   272M/802M
     230    1/5     2.1367     8.5       --      --   0.333   272M/802M
     240    1/5     2.6980    14.8       --      --   0.551   272M/802M
     250    1/5     2.5945    13.4       --      --   0.496   272M/802M
     260    1/5     2.5960    13.4       --      --   0.278   272M/802M
     270    1/5     2.4364    11.4       --      --   0.304   272M/802M
---------------------------------------------------------------------------
  EPOCH 1/5 SUMMARY: TrLoss=3.0539 | VaLoss=2.5040 | VaPPL=12.2
---------------------------------------------------------------------------
     280    2/5     1.9667     7.1       --      --   0.363   274M/802M
     290    2/5     2.2175     9.2       --      --   0.310   274M/802M
     300    2/5     2.4780    11.9       --      --   0.315   274M/802M
     310    2/5     2.3930    10.9       --      --   0.342   274M/802M
     320    2/5     2.4319    11.4       --      --   0.325   274M/802M
     330    2/5     2.4458    11.5       --      --   0.347   274M/802M
     340    2/5     2.4230    11.3       --      --   0.285   274M/802M
     350    2/5     2.3549    10.5       --      --   0.287   274M/802M
     360    2/5     2.3522    10.5       --      --   0.426   274M/802M
     370    2/5     2.6217    13.8       --      --   0.297   274M/802M
     380    2/5     2.7122    15.1       --      --   0.330   274M/802M
     390    2/5     2.2356     9.4       --      --   0.297   274M/802M
     400    2/5     2.5492    12.8       --      --   0.307   274M/802M
     410    2/5     2.6688    14.4       --      --   0.522   274M/802M
     420    2/5     2.5675    13.0       --      --   0.363   274M/802M
     430    2/5     2.4049    11.1       --      --   0.320   274M/802M
     440    2/5     2.4569    11.7       --      --   0.310   274M/802M
     450    2/5     2.7296    15.3       --      --   0.313   274M/802M
     460    2/5     2.5083    12.3       --      --   0.327   274M/802M
     470    2/5     2.4181    11.2       --      --   0.323   274M/802M
     480    2/5     2.8552    17.4       --      --   0.406   274M/802M
     490    2/5     2.3252    10.2       --      --   0.483   274M/802M
     500    2/5     2.0771     8.0       --      --   0.302   274M/802M
     510    2/5     2.5321    12.6       --      --   0.326   274M/802M
     520    2/5     2.4105    11.1       --      --   0.332   274M/802M
     530    2/5     2.5968    13.4       --      --   0.431   274M/802M
     540    2/5     2.6239    13.8       --      --   0.363   274M/802M
     550    2/5     2.5182    12.4       --      --   0.359   274M/802M
---------------------------------------------------------------------------
  EPOCH 2/5 SUMMARY: TrLoss=2.4667 | VaLoss=2.3254 | VaPPL=10.2
---------------------------------------------------------------------------
     560    3/5     2.4498    11.6       --      --   0.388   274M/802M
     570    3/5     2.3189    10.2       --      --   0.282   274M/802M
     580    3/5     2.4599    11.7       --      --   0.304   274M/802M
     590    3/5     2.0277     7.6       --      --   0.358   274M/802M
     600    3/5     2.1984     9.0       --      --   0.339   274M/802M
     610    3/5     2.4039    11.1       --      --   0.332   274M/802M
     620    3/5     2.2920     9.9       --      --   0.359   274M/802M
     630    3/5     2.3329    10.3       --      --   0.285   274M/802M
